query,intent,predicted_intent,is_match
cozy ribbed lounge set,similar_items,similar_items,1
soft jogger dupes,similar_items,similar_items,1
oversized sleep tee,similar_items,similar_items,1
plush robe alternative,similar_items,similar_items,1
waffle knit pajama pants,similar_items,similar_items,1
cheeper version of this hoodie,similar_items,similar_items,1
buttery lounge shorts,similar_items,similar_items,1
slouchy cardigan dupe,similar_items,similar_items,1
modal cami set,similar_items,similar_items,1
fuzzy house slipper replacment,similar_items,similar_items,1
what socks go with these lounge joggers,graph_pairing,graph_pairing,1
tops to wear with this pajama short,graph_pairing,graph_pairing,1
what bra would go under this soft tank,graph_pairing,graph_pairing,1
slippers to pair with this robe,graph_pairing,graph_pairing,1
what can i wear with this matching lounge pant,graph_pairing,graph_pairing,1
cardigan for this sleep cami pls,graph_pairing,graph_pairing,1
cute pieces to add to this couch outfit,graph_pairing,graph_pairing,1
blanket scarf that works with this sweatsuit,graph_pairing,graph_pairing,1
shoes for stepping out in these sweatpants,graph_pairing,graph_pairing,1
what layer should i put over this lounge bralette,graph_pairing,graph_pairing,1
do u have this in oatmeal,color_variant,color_variant,1
same lounge set in charcoal?,color_variant,color_variant,1
pink color pls,color_variant,color_variant,1
is there a sage green one,color_variant,color_variant,1
this robe in ivory,color_variant,color_variant,1
navvy version of these joggers,color_variant,color_variant,1
can i get the pajama top in lilac,color_variant,color_variant,1
black only,color_variant,color_variant,1
same slippers but taupe,color_variant,color_variant,1
grey shade availble?,color_variant,color_variant,1
hiii,chit_chat,chit_chat,1
wheres my package,chit_chat,chit_chat,1
it is raining so bad rn,chit_chat,chit_chat,1
can u help me,chit_chat,chit_chat,1
lol my cat stole my sock,chit_chat,chit_chat,1
good mornng,chit_chat,chit_chat,1
refund status please,chit_chat,chit_chat,1
blorp slippers moon cheese,chit_chat,chit_chat,1
thanksss,chit_chat,chit_chat,1
are you a real person,chit_chat,chit_chat,1
find a cheaper dupe of this lounge set in cream,composite_intent,composite_intent,1
show me similar sweatpants and tops to wear with them,composite_intent,composite_intent,1
do you have this robe in blue and slippers to match,composite_intent,composite_intent,1
need a lookalike of this sleep shirt but in black,composite_intent,composite_intent,1
cheeper fuzzy cardigan plus pants that go with it,composite_intent,composite_intent,1
same pajama set in burgundy and a cozy wrap to pair,composite_intent,composite_intent,1
dupe for these lounge shorts with a tank that matches,composite_intent,composite_intent,1
similar slippers in pink and socks to wear with them,composite_intent,composite_intent,1
find me this hoodie in gray or something like it,composite_intent,composite_intent,1
less expensive version of this onesie in white and what robe goes over it,composite_intent,composite_intent,1
techwear cargos,similar_items,similar_items,1
dupe for this neon shell,similar_items,similar_items,1
budget cyber jacket,similar_items,similar_items,1
alt for this utility vest,similar_items,similar_items,1
lookalike visor hoodie,similar_items,similar_items,1
cheaper version of these combat joggers,similar_items,similar_items,1
