query,intent
"Does it come in pink? Like THIS one, just pink.",color_variant
What shoes would go with this emerald green satin slip dress for a winter wedding?,graph_pairing
this but simpler to buy,similar_items
layer to put over it,graph_pairing
leggings to pair with these,graph_pairing
it in faded black to get,color_variant
gloves for this,graph_pairing
budget version to this,similar_items
Do these wide-leg beige trousers match with a cropped denim jacket or nah—what top would finish it?,graph_pairing
similar to these but with pockets to get,similar_items
"I love this dress, can I get it in burgundy instead of bright red?",color_variant
lookalike to this,similar_items
Any dupes for a Chanel-style quilted crossbody under $120?,similar_items
"I love this coat, just not in mustard—does it exist in gray or navy?",color_variant
sneakers with it,graph_pairing
lookalike for this to order,similar_items
sneakers with this,graph_pairing
"Same shirt, different colorway—got it in lilac or pastel purple?",color_variant
I’ve got a satin slip skirt (champagne). What top should I wear with it—nothing too revealing.,graph_pairing
Help me find socks that work with these Chelsea boots (no crazy patterns).,graph_pairing
same style in red for this,color_variant
same in matte black to buy,color_variant
this in dark wash to order,color_variant
something like this but pleated to buy,similar_items
similar to this to wear as guest,similar_items
"Is there a navy version of this exact blazer, or only the tan one?",color_variant
combat boots with this to match,graph_pairing
which jacket goes with this to,graph_pairing
"Show me lookalikes for this bag, like the same shape but cheaper—no logos pls.",similar_items
this in grey,color_variant
"Same bag, different color: can I get it in burgundy?",color_variant
bag to match this,graph_pairing
same set in cream to order for this,color_variant
any darker color for this to,color_variant
same leather biker in beige for me,color_variant
"Looking for a lookalike of this bag: crescent shape, shoulder strap, minimalist.",similar_items
best bra to wear with this if the back is low,graph_pairing
bra top for these,graph_pairing
budget version for this with zipper,similar_items
Do these come in all white? Not the white/black combo.,color_variant
alternative to this with lace trim,similar_items
it in blue to purchase,color_variant
this in acid wash,color_variant
"Show me similar swimsuits to this one-piece, just with more coverage on the chest.",similar_items
dupe for these to ship fast,similar_items
similar to this but longer to find,similar_items
this in blush pink,color_variant
sweater to wear under this,graph_pairing
bracelets to go with this,graph_pairing
linen beach shirt dupe for this,similar_items
this but cheaper to get,similar_items
shorts to match this,graph_pairing
dupe for the boho chic maxi dress to compare,similar_items
I’ve got a cream turtleneck—what jacket would pair best with it for winter?,graph_pairing
"Can you get this in beige? Same style, just not the pink.",color_variant
Help me complete an outfit around a beige trench coat—what pants + shoes?,graph_pairing
these in gold for checkout,color_variant
something close to it with a leather strap,similar_items
same item but in cobalt for this,color_variant
find one like it to replace,similar_items
this in camo for me,color_variant
watch for this,graph_pairing
do you have this in red to get,color_variant
chunky loafers similar to these but cheaper,similar_items
What shoes would go with this cream midi skirt for a spring wedding?,graph_pairing
it in mocha to match,color_variant
Any dupes for these aviator sunglasses? I want the shape but different brand.,similar_items
Show me alternatives to this puffer jacket—same warmth but less bulky.,similar_items
recycled-fabric socks for these,graph_pairing
alternatives for this fit,similar_items
gray one for these,color_variant
what top with this,graph_pairing
cardigan for this,graph_pairing
outerwear for this,graph_pairing
similar to this but satin for,similar_items
white shorts with it,graph_pairing
flats to wear with these,graph_pairing
Any dupes for the Adidas Samba? I want that vibe but not Adidas.,similar_items
I bought the beige trench—what bag and scarf should I pair with it?,graph_pairing
budget trench to match this,similar_items
these in red to match,color_variant
bib to pair with this,graph_pairing
What goes with these neon green heels? Need a dress that won’t clash.,graph_pairing
sneakers to pair with these,graph_pairing
cardigan to layer with this,graph_pairing
grey one for it,color_variant
"Show me boots like these Chelsea boots, but with a taller shaft.",similar_items
cargo pants for these,graph_pairing
dupe with the same fit to get,similar_items
this in navy to order,color_variant
"Find me something like a Nike Tech Fleece set—similar fit, different brand.",similar_items
What earrings would go with a high-neck red sweater without looking too much?,graph_pairing
similar floral dress for a smaller bust to wear,similar_items
same boho maxi dress in black to order,color_variant
suit pants with these to style,graph_pairing
"Find me a lookalike for these chunky loafers but cheaper, no patent leather.",similar_items
same in red for this,color_variant
got it in lavender to order,color_variant
These white sneakers look cute; what socks and shorts would pair well with them?,graph_pairing
shoes with these,graph_pairing
