query,intent
Is this coat available in cobalt blue?,color_variant
got this colorway in grey,color_variant
white version only,color_variant
Please find a similar eyelet dress in white and accessories to style it with.,composite_intent
lookalike of this signet ring,similar_items
navy coat version,color_variant
do you carry this veil in warm ivory and a tiara that pairs with it,composite_intent
can I get this jacket in camel,color_variant
dupe this harness in black with accessories that match,composite_intent
cropped puffer,similar_items
bag for office look,graph_pairing
it raining lol,chit_chat
bag for this lil dress,graph_pairing
placenta confetti elevator socks,chit_chat
earrings w strapless top,graph_pairing
stuff for this wet weather outfit,graph_pairing
refund for boots,chit_chat
sun-faded charcoal 14 oz box hoodie with cropped hem,similar_items
my tracking aint moving,chit_chat
same boots in black and a purse to go with them,composite_intent
can i get it in olive,color_variant
find a dupe for this beaded top and pants that go w it,composite_intent
what pants should i rock with this visor top,graph_pairing
outfit ideas for these boots,graph_pairing
beep boop jacket ghost,chit_chat
do you have this in champagne quickly,color_variant
prada loafer lookalike,similar_items
what to wear with a transparent rain jacket,graph_pairing
cheaper alternative to a modular taktical vest,similar_items
coat ideas to go with this ivory lambskin crossbody,graph_pairing
what sandals with this,graph_pairing
same romper in hot pink?,color_variant
scarf blue version w coat,composite_intent
can a human help me,chit_chat
hoodie to match my joggers,graph_pairing
pearl button cardigan,similar_items
shoes for red dress,graph_pairing
can you find a cheaper twin of this dress and a jacket for it,composite_intent
hows the weather,chit_chat
can I get this jacket in navy,color_variant
belt and jewelry for this wrap dress,graph_pairing
"A more affordable version of this collared knit, ideally in cream, with sneakers to style it.",composite_intent
cropped cocoon coat,similar_items
casual knit set dupe,similar_items
laser grid bomber jaket,similar_items
cardigan that goes w this,graph_pairing
reflective shell jacket,similar_items
jewelry for this cashmere set,graph_pairing
cheaper dupe of this cable sweater plus pants to wear w it,composite_intent
package update,chit_chat
need a lookalike of this sleep shirt but in black,composite_intent
zipper thunder lobster velvet,chit_chat
tall-fit gray office suit,similar_items
you around,chit_chat
blue gym leggings chep,composite_intent
need the red colorway,color_variant
my delivery says delayed,chit_chat
can I get the boots in black,color_variant
ugg style slipr dupe,similar_items
flats that work w this maxi,graph_pairing
"Same waterproof hat in forest green, please.",color_variant
plush robe alternative,similar_items
cheap ugg tasman style,similar_items
tennis club knit vest,similar_items
delivery update,chit_chat
which socks with these trainers,graph_pairing
can you pull a black version of this evening sheath and shoes to go with it,composite_intent
coat over this varsity sweater for tomorrow,graph_pairing
similar opera-length satin gloves,similar_items
do u have navy,color_variant
cream tennis sweater,similar_items
quiet luxury loafers,similar_items
give me a budget alternative to this monogram purse and a belt that matches it,composite_intent
need a dupe for this hoodie in black,composite_intent
lemme see it in ivory,color_variant
brown verison boots,color_variant
red version of this clutch with earrings that complement the hardware,composite_intent
gold heels for club dres,composite_intent
heels for this blazer and trousers,graph_pairing
look for a similar jacket in black and pants to pair,composite_intent
any dupe for this crescent purse that works with chunky loafers,composite_intent
got this vest in black to wear with these trousers,composite_intent
